City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,San Juan Bautista,PE,84.87,broken clouds,-14.0108,-75.7358,Hotel Las Dunas
6,Hithadhoo,MV,81.03,overcast clouds,-0.6,73.0833,Scoop Guest House
7,Atuona,PF,77.32,few clouds,-9.8,-139.0333,Villa Enata
11,Makakilo City,US,79.61,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
19,Sao Jose Da Laje,BR,77.23,scattered clouds,-9.0097,-36.0583,Pousada Gente Nossa
23,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
26,Hilo,US,76.12,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
27,Pucallpa,PE,86.04,broken clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
41,San Patricio,US,85.93,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
42,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
45,Yulara,AU,76.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
47,Kodinar,IN,76.89,clear sky,20.7903,70.7031,residency of N.B vadhel
49,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
51,Panama City,PA,86.43,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
59,Kavieng,PG,82.42,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
61,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
68,Sao Joao Da Barra,BR,82.49,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
72,Port Moresby,PG,75.65,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
75,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
79,Moron,AR,87.94,clear sky,-34.6534,-58.6198,Hotel Morón
80,Sarangani,PH,82.8,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
83,Cabo San Lucas,MX,83.5,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
89,Tautira,PF,77.68,broken clouds,-17.7333,-149.15,Pension Oaoa
92,Mancio Lima,BR,78.87,scattered clouds,-7.6142,-72.8958,Motel Asas Do Desejo
99,Vallenar,CL,75.15,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
100,Isangel,VU,78.62,overcast clouds,-19.55,169.2667,Tanna Lodge
105,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
108,Greenville,US,79.12,overcast clouds,35.6127,-77.3663,"Holiday Inn Express Greenville, an IHG Hotel"
119,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
129,Wanning,CN,75.13,overcast clouds,18.8003,110.3967,Paradise Hotel
136,Hambantota,LK,77.94,overcast clouds,6.1241,81.1185,Bungalow 63
137,Butaritari,KI,81.16,broken clouds,3.0707,172.7902,Isles Sunset Lodge
141,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
143,Panaba,MX,86.99,broken clouds,21.2833,-88.2667,Hotel Don Fernando
151,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
153,Atascocita,US,84.22,broken clouds,29.9988,-95.1766,Best Western Plus Houston Atascocita Inn & Suites
155,Salta,AR,87.58,smoke,-24.7859,-65.4117,Hotel Alejandro I
159,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
160,Nishihara,JP,76.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
161,Basco,PH,80.65,few clouds,20.4487,121.9702,Nathaniel's Lodge
167,Sola,VU,80.51,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
184,The Valley,AI,84.34,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
188,Bontang,ID,76.82,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
189,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
190,Soyo,AO,77.63,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
196,Teluknaga,ID,78.19,light rain,-6.0989,106.6381,Teluk Naga Seliong
204,Lorengau,PG,80.49,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
209,Sao Filipe,CV,77.81,broken clouds,14.8961,-24.4956,Hotel Xaguate
