City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,71.19,83,58,8.52,broken clouds
1,Bluff,NZ,-46.6,168.3333,58.8,78,100,4.9,overcast clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,76.96,82,73,10.0,broken clouds
3,Svetlaya,RU,46.5389,138.3297,42.91,74,100,10.0,overcast clouds
4,Katsuura,JP,35.1333,140.3,63.39,81,26,6.15,scattered clouds
5,San Juan Bautista,PE,-14.0108,-75.7358,84.87,34,70,14.79,broken clouds
6,Hithadhoo,MV,-0.6,73.0833,81.03,78,100,14.63,overcast clouds
7,Atuona,PF,-9.8,-139.0333,77.32,81,11,14.67,few clouds
8,Iskateley,RU,67.6803,53.1512,14.34,95,87,8.34,overcast clouds
9,Havoysund,NO,70.9963,24.6622,34.03,83,100,3.65,overcast clouds
10,Mahebourg,MU,-20.4081,57.7,73.69,78,40,3.44,scattered clouds
11,Makakilo City,US,21.3469,-158.0858,79.61,53,75,9.22,broken clouds
12,Hermanus,ZA,-34.4187,19.2345,62.8,82,0,5.14,clear sky
13,Yankton,US,42.8711,-97.3973,23.25,68,100,27.63,overcast clouds
14,Yumen,CN,40.2833,97.2,28.18,50,0,3.76,clear sky
15,Ushuaia,AR,-54.8,-68.3,51.46,46,40,20.71,scattered clouds
16,Provideniya,RU,64.3833,-173.3,13.46,71,1,7.07,clear sky
17,Albany,US,42.6001,-73.9662,66.16,81,100,1.99,light rain
18,Busselton,AU,-33.65,115.3333,50.9,81,67,10.56,broken clouds
19,Sao Jose Da Laje,BR,-9.0097,-36.0583,77.23,82,29,10.36,scattered clouds
20,Hobart,AU,-42.8794,147.3294,51.66,79,75,13.8,broken clouds
21,Rikitea,PF,-23.1203,-134.9692,74.26,87,100,11.45,light rain
22,Castro,BR,-24.7911,-50.0119,60.55,89,100,3.31,overcast clouds
23,Vaini,TO,-21.2,-175.2,78.96,94,40,6.91,scattered clouds
24,Port Elizabeth,ZA,-33.918,25.5701,69.31,91,0,5.01,clear sky
25,Taoudenni,ML,22.6783,-3.9836,80.08,13,98,10.8,overcast clouds
26,Hilo,US,19.7297,-155.09,76.12,88,100,10.36,light rain
27,Pucallpa,PE,-8.3791,-74.5539,86.04,66,75,2.3,broken clouds
28,New Norfolk,AU,-42.7826,147.0587,51.3,71,100,2.44,overcast clouds
29,Torbay,CA,47.6666,-52.7314,41.29,91,75,11.5,moderate rain
30,Punta Arenas,CL,-53.15,-70.9167,53.62,66,40,11.5,light intensity shower rain
31,Poltava,UA,49.5937,34.5407,42.33,95,98,4.63,overcast clouds
32,Norfolk,US,42.1668,-71.2495,71.31,73,100,4.0,overcast clouds
33,Kainantu,PG,-6.2887,145.8655,58.89,96,100,2.95,overcast clouds
34,Shelton,US,41.3165,-73.0932,66.96,90,100,8.05,moderate rain
35,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,88,40,5.75,scattered clouds
36,Norman Wells,CA,65.282,-126.8329,14.04,85,75,3.44,light snow
37,Barrow,US,71.2906,-156.7887,17.62,93,100,13.8,light snow
38,Tieli,CN,46.95,128.05,29.03,76,100,3.42,overcast clouds
39,Fukue,JP,32.6881,128.8419,69.44,77,0,11.16,clear sky
40,Port Alfred,ZA,-33.5906,26.891,70.18,91,100,7.0,overcast clouds
41,San Patricio,US,28.017,-97.5169,85.93,57,97,9.06,overcast clouds
42,Georgetown,MY,5.4112,100.3354,78.73,92,20,0.0,few clouds
43,Poum,NC,-20.2333,164.0167,75.72,78,69,8.37,broken clouds
44,Abong Mbang,CM,3.9833,13.1833,67.87,95,27,2.86,scattered clouds
45,Yulara,AU,-25.2406,130.9889,76.44,34,2,6.24,clear sky
46,Asau,RO,46.4333,26.4,45.52,79,28,1.77,scattered clouds
47,Kodinar,IN,20.7903,70.7031,76.89,48,10,10.65,clear sky
48,Kruisfontein,ZA,-34.0033,24.7314,69.01,76,88,4.21,overcast clouds
49,Vila Velha,BR,-20.3297,-40.2925,80.55,85,20,12.66,few clouds
50,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,97.16,24,6,7.87,clear sky
51,Panama City,PA,8.9936,-79.5197,86.43,75,40,6.91,scattered clouds
52,Bredasdorp,ZA,-34.5322,20.0403,65.89,88,98,5.3,overcast clouds
53,Qaqortoq,GL,60.7167,-46.0333,22.19,95,100,1.9,overcast clouds
54,Klaksvik,FO,62.2266,-6.589,50.92,83,42,26.87,scattered clouds
55,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,93,100,11.5,overcast clouds
56,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,50,0,22.37,clear sky
57,Pevek,RU,69.7008,170.3133,-3.87,99,97,1.36,overcast clouds
58,Jamestown,US,42.097,-79.2353,62.24,71,100,10.36,heavy intensity rain
59,Kavieng,PG,-2.5744,150.7967,82.42,76,100,5.88,overcast clouds
60,Grong,NO,64.4654,12.3149,47.48,96,100,3.98,light rain
61,Kapaa,US,22.0752,-159.319,80.58,61,40,12.66,scattered clouds
62,Ponta Delgada,PT,37.7333,-25.6667,59.72,67,20,6.91,few clouds
63,Codrington,AU,-38.2667,141.9667,50.67,93,100,7.9,overcast clouds
64,East London,ZA,-33.0153,27.9116,70.02,93,100,22.5,overcast clouds
65,Atbasar,KZ,51.8,68.3333,33.35,98,100,19.22,light snow
66,Janow Lubelski,PL,50.707,22.4104,50.23,79,100,7.63,overcast clouds
67,Khatanga,RU,71.9667,102.5,-27.29,99,84,8.88,broken clouds
68,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,89,59,11.95,broken clouds
69,Krasnyy Chikoy,RU,50.3643,108.7512,4.41,98,73,2.08,broken clouds
70,Linxia,CN,35.6003,103.2064,30.31,94,100,0.34,overcast clouds
71,Kiunga,PG,-6.1219,141.2906,71.58,99,100,2.15,overcast clouds
72,Port Moresby,PG,-9.4431,147.1797,75.65,87,100,6.71,overcast clouds
73,Ryotsu,JP,38.0833,138.4333,55.85,70,6,1.77,clear sky
74,Leningradskiy,RU,69.3833,178.4167,0.05,94,99,7.47,overcast clouds
75,Acapulco,MX,16.8634,-99.8901,84.02,74,0,8.05,clear sky
76,Yellowknife,CA,62.456,-114.3525,23.56,80,100,24.16,light snow
77,Mataura,NZ,-46.1927,168.8643,58.48,76,100,2.26,overcast clouds
78,Tosya,TR,41.0155,34.0401,43.93,81,3,1.99,clear sky
79,Moron,AR,-34.6534,-58.6198,87.94,46,6,10.94,clear sky
80,Sarangani,PH,5.4033,125.4636,82.8,75,92,11.27,overcast clouds
81,Vestmannaeyjar,IS,63.4427,-20.2734,46.29,84,96,16.44,overcast clouds
82,Boden,SE,65.8252,21.6886,42.8,86,56,8.01,broken clouds
83,Cabo San Lucas,MX,22.8909,-109.9124,83.5,67,99,6.2,overcast clouds
84,Waipawa,NZ,-41.4122,175.5153,62.01,86,77,3.71,broken clouds
85,Severo-Kurilsk,RU,50.6789,156.125,34.02,62,95,29.51,overcast clouds
86,Mount Gambier,AU,-37.8333,140.7667,51.13,91,80,7.7,broken clouds
87,Cidreira,BR,-30.1811,-50.2056,68.13,84,100,11.65,overcast clouds
88,Ostrovnoy,RU,68.0531,39.5131,38.12,97,100,18.21,overcast clouds
89,Tautira,PF,-17.7333,-149.15,77.68,76,53,4.25,broken clouds
90,Tongliao,CN,43.6125,122.2653,30.65,97,100,16.91,snow
91,Souillac,MU,-20.5167,57.5167,73.78,78,40,3.44,scattered clouds
92,Mancio Lima,BR,-7.6142,-72.8958,78.87,83,40,0.0,scattered clouds
93,Sitka,US,57.0531,-135.33,42.69,81,100,3.44,overcast clouds
94,Nanortalik,GL,60.1432,-45.2371,25.0,93,100,8.72,light snow
95,Coquimbo,CL,-29.9533,-71.3436,64.13,72,75,9.22,broken clouds
96,Magadi,IN,12.9667,77.2333,65.5,90,100,12.01,moderate rain
97,Haines Junction,CA,60.7522,-137.5108,15.75,92,100,1.14,overcast clouds
98,Huron,US,41.1501,-82.5499,60.24,95,100,3.56,light rain
99,Vallenar,CL,-28.5708,-70.7581,75.15,27,100,9.86,overcast clouds
100,Isangel,VU,-19.55,169.2667,78.62,86,100,8.95,overcast clouds
101,Vico Equense,IT,40.6598,14.4317,65.14,83,91,8.43,overcast clouds
102,Cape Town,ZA,-33.9258,18.4232,64.09,69,0,6.91,clear sky
103,Broome,US,42.2506,-75.833,61.86,90,100,12.66,moderate rain
104,Dikson,RU,73.5069,80.5464,-1.84,98,92,7.0,overcast clouds
105,Port-Gentil,GA,-0.7193,8.7815,80.56,83,75,6.91,broken clouds
106,Fortuna,US,40.5982,-124.1573,58.66,73,23,5.01,few clouds
107,Thompson,CA,55.7435,-97.8558,1.56,78,20,3.44,few clouds
108,Greenville,US,35.6127,-77.3663,79.12,87,100,13.8,overcast clouds
109,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,40,3.44,scattered clouds
110,Benghazi,LY,32.1167,20.0667,67.93,60,5,13.62,clear sky
111,Fort Nelson,CA,58.8053,-122.7002,11.79,79,100,4.61,overcast clouds
112,Olafsvik,IS,64.8945,-23.7142,40.69,91,100,11.45,overcast clouds
113,Kidal,ML,18.4411,1.4078,78.19,15,2,10.76,clear sky
114,Sandusky,US,41.3501,-83.1332,61.0,76,100,3.87,overcast clouds
115,Nibbar,TN,36.2941,8.7666,61.48,82,20,8.05,few clouds
116,Prince Rupert,CA,54.3161,-130.3201,41.09,96,100,11.5,overcast clouds
117,Zaoyang,CN,32.1272,112.7542,63.64,81,54,14.23,broken clouds
118,Torres,BR,-29.3353,-49.7269,69.82,93,100,6.71,moderate rain
119,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,83,20,16.11,few clouds
